timestamp,open,high,low,close,volume
2019-04-29,4.755,4.755,3.661,4.392,3919994.755
2019-05-02,4.391,5.66,4.174,5.243,7408340.52
2019-05-05,5.238,5.238,4.502,4.596,4044696.396
2019-05-08,4.601,4.635,3.415,3.797,4277143.016
2019-05-11,3.804,4.175,3.604,3.897,3273684.63
2019-05-14,3.897,4.8,3.779,4.278,4484904.485
2019-05-17,4.268,5.171,3.95,4.852,6429055.449
2019-05-20,4.852,4.864,4.3,4.306,3703032.181
2019-05-23,4.309,4.77,4.115,4.385,3637383.377
2019-05-26,4.385,4.863,4.238,4.778,1861083.762
2019-05-29,4.794,6.603,4.5,5.782,10029791.914
2019-06-01,5.782,7.249,5.572,6.506,8741264.396
2019-06-04,6.506,6.85,5.62,5.987,7308057.123
2019-06-07,5.995,6.576,5.7,5.826,3228983.508
2019-06-10,5.825,6.264,5.733,6.124,2194522.167
2019-06-13,6.125,6.506,5.874,6.167,1744663.144
2019-06-16,6.164,7.1,6.118,6.571,2064543.745
2019-06-19,6.586,6.849,6.285,6.523,1175306.7
2019-06-22,6.513,7.193,6.414,6.665,1692375.656
2019-06-25,6.675,6.849,5.36,5.558,2252266.15
2019-06-28,5.552,6.198,5.395,5.443,1402866.225
2019-07-01,5.443,5.72,5.123,5.574,1377015.883
2019-07-04,5.584,5.766,5.235,5.288,671320.626
2019-07-07,5.299,5.435,4.87,4.984,858172.637
2019-07-10,4.984,4.985,4.053,4.526,2151137.042
2019-07-13,4.527,4.534,3.561,4.132,1398494.951
2019-07-16,4.131,4.255,3.475,4.085,1935107.415
2019-07-19,4.078,4.315,3.797,4.218,957367.85
2019-07-22,4.22,4.345,3.616,3.892,888605.207
2019-07-25,3.892,4.034,3.55,3.617,822643.502
2019-07-28,3.614,3.69,3.489,3.594,525146.369
2019-07-31,3.59,3.909,3.424,3.647,1216833.428
2019-08-03,3.652,3.868,3.578,3.767,744538.079
2019-08-06,3.773,3.783,2.989,3.271,1718177.862
2019-08-09,3.27,3.552,3.076,3.552,1128689.753
2019-08-12,3.554,3.656,2.848,2.861,1309264.197
2019-08-15,2.865,3.024,2.804,2.91,988885.895
2019-08-18,2.91,2.984,2.752,2.866,1064666.609
2019-08-21,2.876,2.876,2.569,2.715,805113.536
2019-08-24,2.711,2.738,2.586,2.616,583954.568
2019-08-27,2.622,2.642,2.137,2.161,1446822.075
2019-08-30,2.16,2.239,1.978,2.129,1629814.848
2019-09-02,2.123,2.222,2.005,2.037,1063467.434
2019-09-05,2.041,2.284,1.83,2.16,2438407.103
2019-09-08,2.162,2.96,2.152,2.584,4969053.763
2019-09-11,2.581,3.301,2.396,3.171,4706390.085
2019-09-14,3.171,3.565,2.979,3.329,3594498.273
2019-09-17,3.329,3.45,2.917,3.128,2876420.488
2019-09-20,3.128,3.294,2.75,2.911,2107110.607
2019-09-23,2.901,2.91,1.93,2.281,3344328.593
