timestamp,open,high,low,close,volume
2021-05-10,1.412e-05,5e-05,1.237e-05,1.784e-05,484269006289895.0
2021-05-17,1.783e-05,1.808e-05,6.3e-06,8.09e-06,407349917325307.0
2021-05-24,8.08e-06,1.208e-05,7.3e-06,7.86e-06,212565563021345.0
2021-05-31,7.85e-06,1.049e-05,7.69e-06,8.53e-06,166796075863023.0
2021-06-07,8.52e-06,8.72e-06,5.51e-06,6.85e-06,149645754195182.0
2021-06-14,6.84e-06,9.88e-06,6.67e-06,7.78e-06,229142287781812.0
2021-06-21,7.78e-06,8.5e-06,5.59e-06,7.85e-06,188069760757511.0
2021-06-28,7.85e-06,9.63e-06,7.58e-06,8.73e-06,143622809054554.0
2021-07-05,8.72e-06,9.33e-06,7.52e-06,7.86e-06,83865401455459.0
2021-07-12,7.87e-06,7.99e-06,6.55e-06,6.64e-06,55952774291579.0
2021-07-19,6.65e-06,6.98e-06,5.7e-06,6.36e-06,67389394228766.0
2021-07-26,6.37e-06,6.91e-06,6.04e-06,6.3e-06,68386598709441.0
2021-08-02,6.3e-06,8.88e-06,6.11e-06,7.29e-06,105630788903718.0
2021-08-09,7.29e-06,8.76e-06,7.09e-06,8.55e-06,118832826008737.0
2021-08-16,8.55e-06,9.48e-06,7.76e-06,8.2e-06,120778553353435.0
2021-08-23,8.2e-06,8.44e-06,6.82e-06,7.12e-06,63304294422670.0
2021-08-30,7.11e-06,7.68e-06,6.47e-06,7.53e-06,59165713432047.0
2021-09-06,7.53e-06,8.2e-06,5.1e-06,6.89e-06,145062150465520.0
2021-09-13,6.89e-06,9.5e-06,6.17e-06,8.08e-06,166609706675172.0
2021-09-20,8.08e-06,8.12e-06,6.6e-06,7.1e-06,85012109821457.0
2021-09-27,7.1e-06,9.03e-06,6.82e-06,8.54e-06,54413070230057.0
2021-10-04,8.55e-06,3.528e-05,8.2e-06,2.613e-05,1002794161988704.0
2021-10-11,2.613e-05,3.2e-05,2.333e-05,2.774e-05,260239728694357.0
2021-10-18,2.775e-05,4.465e-05,2.638e-05,3.605e-05,258003431135636.0
2021-10-25,3.605e-05,8.854e-05,3.493e-05,6.697e-05,538716725071085.0
2021-11-01,6.697e-05,7.494e-05,4.312e-05,5.69e-05,260625699744621.0
2021-11-08,5.69e-05,5.9e-05,4.6e-05,5.314e-05,127271128187356.0
2021-11-15,5.314e-05,5.599e-05,4.051e-05,4.411e-05,115499971372131.0
2021-11-22,4.412e-05,4.792e-05,3.56e-05,3.911e-05,135250681466201.0
2021-11-29,3.911e-05,5.435e-05,2.952e-05,3.622e-05,180478562460112.0
2021-12-06,3.623e-05,3.878e-05,3.269e-05,3.656e-05,67580153876119.0
2021-12-13,3.657e-05,3.684e-05,3.019e-05,3.077e-05,52952222618589.0
2021-12-20,3.077e-05,3.987e-05,2.824e-05,3.824e-05,81976689845944.0
2021-12-27,3.825e-05,3.948e-05,3.262e-05,3.401e-05,44686475163089.0
2022-01-03,3.401e-05,3.41e-05,2.641e-05,2.825e-05,41021575623993.0
2022-01-10,2.826e-05,3.29e-05,2.537e-05,3.049e-05,52485624023225.0
2022-01-17,3.049e-05,3.058e-05,1.704e-05,2.246e-05,76885936935176.0
2022-01-24,2.246e-05,2.353e-05,1.865e-05,2.11e-05,64631079679889.0
2022-01-31,2.11e-05,2.9e-05,2.005e-05,2.849e-05,48767912020317.0
2022-02-07,2.848e-05,3.523e-05,2.707e-05,3.013e-05,137977935028104.0
2022-02-14,3.013e-05,3.253e-05,2.489e-05,2.547e-05,64633848833775.0
2022-02-21,2.547e-05,2.755e-05,2.071e-05,2.342e-05,101256406806348.0
2022-02-28,2.343e-05,2.861e-05,2.28e-05,2.352e-05,61420543282513.0
2022-03-07,2.352e-05,2.46e-05,2.12e-05,2.15e-05,39274991458688.0
2022-03-14,2.15e-05,2.555e-05,2.124e-05,2.311e-05,47100145026321.0
2022-03-21,2.311e-05,2.567e-05,2.23e-05,2.557e-05,50402223611754.0
2022-03-28,2.557e-05,2.966e-05,2.458e-05,2.683e-05,78102206319726.0
2022-04-04,2.683e-05,2.847e-05,2.35e-05,2.446e-05,43004297684409.0
2022-04-11,2.446e-05,3e-05,2.183e-05,2.465e-05,81858781625483.0
2022-04-18,2.464e-05,2.587e-05,2.352e-05,2.396e-05,32053363420081.0
2022-04-25,2.395e-05,2.536e-05,1.837e-05,2.155e-05,53434894945649.0
2022-05-02,2.154e-05,2.199e-05,1.823e-05,1.843e-05,45574274050636.0
2022-05-09,1.843e-05,1.871e-05,9.07e-06,1.306e-05,149857810920159.0
2022-05-16,1.305e-05,1.306e-05,1.121e-05,1.19e-05,37485363874307.0
2022-05-23,1.19e-05,1.297e-05,1.012e-05,1.149e-05,43400858853603.0
2022-05-30,1.15e-05,1.248e-05,1.052e-05,1.081e-05,30005618526879.0
2022-06-06,1.082e-05,1.141e-05,8.38e-06,8.6e-06,30205064966379.0
2022-06-13,8.59e-06,8.96e-06,7.14e-06,8.22e-06,55055420315073.0
2022-06-20,8.22e-06,1.214e-05,7.88e-06,1.098e-05,110663292658457.0
2022-06-27,1.098e-05,1.173e-05,9.53e-06,1.003e-05,44313113132853.0
2022-07-04,1.004e-05,1.19e-05,9.93e-06,1.122e-05,39258080695187.0
2022-07-11,1.121e-05,1.122e-05,9.77e-06,1.073e-05,30048872688521.0
2022-07-18,1.072e-05,1.315e-05,1.071e-05,1.159e-05,49825126660606.0
2022-07-25,1.159e-05,1.262e-05,1.029e-05,1.17e-05,42607907448156.0
2022-08-01,1.17e-05,1.274e-05,1.145e-05,1.205e-05,31141993785238.0
2022-08-08,1.205e-05,1.8e-05,1.169e-05,1.69e-05,84974727348956.0
2022-08-15,1.69e-05,1.77e-05,1.251e-05,1.348e-05,91237581672100.0
2022-08-22,1.348e-05,1.484e-05,1.171e-05,1.181e-05,42216170330361.0
2022-08-29,1.181e-05,1.34e-05,1.169e-05,1.285e-05,29813625131869.0
2022-09-05,1.284e-05,1.395e-05,1.172e-05,1.3e-05,44819611517288.0
2022-09-12,1.299e-05,1.325e-05,1e-05,1.062e-05,31007354058222.0
2022-09-19,1.062e-05,1.219e-05,1.011e-05,1.102e-05,38923894241088.0
2022-09-26,1.101e-05,1.157e-05,1.071e-05,1.094e-05,27246998984024.0
2022-10-03,1.095e-05,1.178e-05,1.082e-05,1.103e-05,21745439162321.0
2022-10-10,1.103e-05,1.112e-05,9.24e-06,1.027e-05,24901188918136.0
2022-10-17,1.028e-05,1.05e-05,9.5e-06,1.016e-05,16347318772350.0
2022-10-24,1.016e-05,1.519e-05,9.83e-06,1.192e-05,96542178893052.0
2022-10-31,1.191e-05,1.366e-05,1.15e-05,1.184e-05,71981042093717.0
2022-11-07,1.184e-05,1.211e-05,8.29e-06,9.01e-06,55784245227349.0
2022-11-14,9.01e-06,9.67e-06,8.55e-06,8.79e-06,23806029708422.0
2022-11-21,8.78e-06,9.64e-06,8.17e-06,9.28e-06,25351903936619.0
2022-11-28,9.28e-06,9.49e-06,8.75e-06,9.35e-06,18189544862336.0
2022-12-05,9.36e-06,1.016e-05,8.94e-06,9.1e-06,14220544248946.0
2022-12-12,9.11e-06,9.35e-06,8e-06,8.55e-06,25817832364655.0
2022-12-19,8.55e-06,8.78e-06,7.93e-06,8.29e-06,14658061993978.0
2022-12-26,8.28e-06,8.36e-06,7.78e-06,8.12e-06,12253938772693.0
2023-01-02,8.13e-06,8.81e-06,8.02e-06,8.65e-06,20210016250794.0
2023-01-09,8.65e-06,1.111e-05,8.54e-06,1.067e-05,66804949675227.0
2023-01-16,1.066e-05,1.294e-05,1.007e-05,1.2e-05,71351371340162.0
2023-01-23,1.2e-05,1.233e-05,1.086e-05,1.207e-05,30511277574899.0
2023-01-30,1.207e-05,1.575e-05,1.112e-05,1.43e-05,76748858961149.0
2023-02-06,1.43e-05,1.484e-05,1.17e-05,1.283e-05,50162245663258.0
2023-02-13,1.283e-05,1.4e-05,1.198e-05,1.332e-05,44599682097931.0
2023-02-20,1.333e-05,1.378e-05,1.198e-05,1.284e-05,30055914249334.0
2023-02-27,1.284e-05,1.288e-05,1.077e-05,1.109e-05,19552659960231.0
2023-03-06,1.11e-05,1.169e-05,9.65e-06,1.073e-05,37443349253220.0
2023-03-13,1.073e-05,1.186e-05,1.015e-05,1.091e-05,45825760250267.0
2023-03-20,1.091e-05,1.11e-05,1.022e-05,1.061e-05,27166285446515.0
2023-03-27,1.062e-05,1.153e-05,1.017e-05,1.078e-05,27008570788859.0
2023-04-03,1.078e-05,1.165e-05,1.049e-05,1.096e-05,27726251555516.0
2023-04-10,1.096e-05,1.188e-05,1.058e-05,1.157e-05,22566576328726.0
2023-04-17,1.157e-05,1.172e-05,1.003e-05,1.032e-05,22430997438773.0
2023-04-24,1.032e-05,1.075e-05,9.72e-06,1.007e-05,11957730471691.0
2023-05-01,1.008e-05,1.02e-05,9.18e-06,9.34e-06,13930844437688.0
2023-05-08,9.34e-06,9.36e-06,8.32e-06,8.79e-06,16346137713624.0
2023-05-15,8.78e-06,8.92e-06,8.47e-06,8.52e-06,10655546392415.0
2023-05-22,8.52e-06,9.18e-06,8.28e-06,8.81e-06,15088965483000.0
2023-05-29,8.81e-06,8.87e-06,8.24e-06,8.6e-06,9818839131558.0
