timestamp,open,high,low,close,volume
2018-06-12,16.2,16.7999,12.813,14.0624,2208368.04
2018-06-15,14.0662,14.88,13.5555,14.2399,1685694.09
2018-06-18,14.2399,17.451,13.971,17.35,1981647.69
2018-06-21,17.32,17.86,14.11,14.753,2767220.22
2018-06-24,14.7693,16.0999,13.0182,14.8447,2193829.18
2018-06-27,14.8203,15.6699,14.18,15.2534,3241033.47
2018-06-30,15.2546,17.04,15.2101,16.6514,2787353.97
2018-07-03,16.6613,17.495,16.022,17.4,2354241.16
2018-07-06,17.405,18.98,16.8048,18.3447,3039873.2
2018-07-09,18.2921,18.75,15.6504,16.44,2782240.83
2018-07-12,16.4511,16.85,15.67,16.3634,2276612.01
2018-07-15,16.3665,18.3,16.2507,17.92,2581841.76
2018-07-18,17.9032,18.4396,15.73,16.1008,2882951.69
2018-07-21,16.1009,16.76,15.7701,16.0477,2193061.69
2018-07-24,16.0476,17.4679,15.72,16.66,2032149.76
2018-07-27,16.6599,17.4,16.31,16.8879,2609018.28
2018-07-30,16.8955,17.4,14.9442,15.4773,2971794.08
2018-08-02,15.4731,17.65,14.1206,16.4573,4521114.81
2018-08-05,16.4572,20.8016,16.21,17.3,8316082.49
2018-08-08,17.3001,17.3001,14.03,14.2569,5453918.86
2018-08-11,14.2567,14.2871,11.8508,11.9,3887716.07
2018-08-14,11.9,14.95,10.0881,13.8966,9622603.07
2018-08-17,13.8966,14.587,12.5158,13.3035,9759837.78
2018-08-20,13.3036,13.5427,11.8379,12.1713,8014578.98
2018-08-23,12.1884,12.8,12.099,12.505,4975862.22
2018-08-26,12.5125,13.3997,12.03,13.1837,4651004.33
2018-08-29,13.1803,14.2,12.3184,12.7411,4525062.4
2018-09-01,12.7398,14.5652,12.7259,14.0611,4991619.72
2018-09-04,14.0611,14.28,11.1133,11.9851,4205319.59
2018-09-07,11.986,12.2512,10.6667,11.21,3642739.67
2018-09-10,11.2134,11.51,10.14,10.7222,4160788.96
2018-09-13,10.7223,11.5799,10.685,11.28,4110681.57
2018-09-16,11.2713,11.3175,10.0328,10.5548,3785936.56
2018-09-19,10.5605,11.8007,10.2349,11.7085,4519779.61
2018-09-22,11.6988,11.9,10.9601,11.0405,3556901.57
2018-09-25,11.0449,11.5892,10.3842,11.4479,3661545.47
2018-09-28,11.4498,11.6223,10.9821,11.3203,3386095.11
2018-10-01,11.3301,11.42,10.848,11.141,3119748.68
2018-10-04,11.141,11.2465,10.8516,10.9652,1573009.91
2018-10-07,10.9652,11.0916,10.6666,10.9509,421058.39
2018-10-10,10.9508,10.9553,9.05,9.5181,2015368.01
2018-10-13,9.5205,11.08,9.3612,10.0182,3466250.67
2018-10-16,10.0362,10.338,9.7364,9.7965,2474239.02
2018-10-19,9.7965,9.9763,9.6732,9.7639,1218230.7
2018-10-22,9.7638,10.448,9.7191,9.8365,2181711.6
2018-10-25,9.8366,9.8732,9.6301,9.6867,793062.64
2018-10-28,9.6865,9.7364,8.9396,9.0239,1038925.78
2018-10-31,9.0184,9.2542,8.7787,9.209,916266.44
2018-11-03,9.201,9.6695,9.0317,9.4899,939889.56
2018-11-06,9.4854,10.0564,9.4282,9.5167,1013494.91
2018-11-09,9.5116,9.6891,9.0,9.3041,490675.0
2018-11-12,9.2874,9.4519,7.0726,8.2012,1521168.22
2018-11-15,8.2007,8.2095,7.2001,7.4797,2570511.59
2018-11-18,7.4797,7.721,5.1604,5.65,3381043.61
2018-11-21,5.643,6.017,5.0228,5.2632,2629218.63
2018-11-24,5.2697,5.4369,4.2547,4.4013,3983574.1
2018-11-27,4.3877,5.1262,4.2311,4.9318,3659111.4
2018-11-30,4.9385,5.3691,4.4861,5.1879,3110135.11
2018-12-03,5.1977,5.2296,4.0114,4.0393,3998139.36
2018-12-06,4.0404,4.2257,3.2638,3.7962,5035310.61
2018-12-09,3.7924,4.2505,3.6107,3.6912,3712410.84
2018-12-12,3.6924,3.9469,3.5941,3.7136,2531131.02
2018-12-15,3.7188,4.1115,3.4928,3.9594,1902414.34
2018-12-18,3.9567,4.8774,3.8176,4.7063,3118584.64
